screening_id,pmid,title,year,journal,doi,corneal_layer,priority_level,final_core_status,study_type,target_layer_final,biomaterial_category,specific_materials,fabrication_method,scaffold_architecture,cell_type_used,cell_source,growth_factors_or_bioactive_agents,optical_transparency_reported,optical_metric_details,mechanical_testing_reported,mechanical_metric_details,biological_testing_reported,biological_metric_details,in_vitro_model,ex_vivo_model,animal_model,clinical_evidence,follow_up_duration,main_outcomes,main_limitations,translational_readiness_level,benchmarking_relevance,include_in_final_review,extraction_notes
PUBMED_0005,28613758,Neurotrophic Keratitis.,2026,,,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0008,29024376,"Evaluation of collagen foam, poly(l-lactic acid) nanofiber mesh, and decellularized matrices for corneal regeneration.",2018,"Journal of biomedical materials research. Part B, Applied biomaterials",10.1002/jbm.b.34022,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0013,29128534,Development of gelatin/ascorbic acid cryogels for potential use in corneal stromal tissue engineering.,2018,Acta biomaterialia,10.1016/j.actbio.2017.11.018,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0016,29176452,Collagen-Based Fillers as Alternatives to Cyanoacrylate Glue for the Sealing of Large Corneal Perforations.,2018,Cornea,10.1097/ICO.0000000000001459,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0038,29495264,Engineering of Corneal Tissue through an Aligned PVA/Collagen Composite Nanofibrous Electrospun Scaffold.,2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8020124,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0045,29620862,Gelatin-Based Photocurable Hydrogels for Corneal Wound Repair.,2018,ACS applied materials & interfaces,10.1021/acsami.7b17054,epithelium_limbus,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0049,29637812,Preserving Basement Membranes during Detachment of Cultivated Oral Mucosal Epithelial Cell Sheets for the Treatment of Total Bilateral Limbal Stem Cell Deficiency.,2018,Cell transplantation,10.1177/0963689717741140,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0060,29710848,Biofunctionalized Lysophosphatidic Acid/Silk Fibroin Film for Cornea Endothelial Cell Regeneration.,2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8050290,endothelium,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0069,29883810,Cell-laden and orthogonal-multilayer tissue-engineered corneal stroma induced by a mechanical collagen microenvironment and transplantation in a rabbit model.,2018,Acta biomaterialia,10.1016/j.actbio.2018.06.005,stroma,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0073,29978836,Decellularized corneal lenticule embedded compressed collagen: toward a suturable collagenous construct for limbal reconstruction.,2018,Biofabrication,10.1088/1758-5090/aad1a4,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0104,30323996,Universal Corneal Epithelial-Like Cells Derived from Human Embryonic Stem Cells for Cellularization of a Corneal Scaffold.,2018,Translational vision science & technology,10.1167/tvst.7.5.23,epithelium_limbus,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0106,30339045,Evaluation of the Suitability of Biocompatible Carriers as Artificial Transplants Using Cultured Porcine Corneal Endothelial Cells.,2019,Current eye research,10.1080/02713683.2018.1536215,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0144,30918800,Construction of a full-thickness human corneal substitute from anterior acellular porcine corneal matrix and human corneal cells.,2019,International journal of ophthalmology,10.18240/ijo.2019.03.01,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0145,30938102,TGF-β1-activated type 2 dendritic cells promote wound healing and induce fibroblasts to express tenascin c following corneal full-thickness hydrogel transplantation.,2019,Journal of tissue engineering and regenerative medicine,10.1002/term.2853,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0151,30989737,Construction of a high cell density human corneal endothelial equivalent and its transplantation in primate models.,2019,Xenotransplantation,10.1111/xen.12514,stroma,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0152,30995622,Shear-induced alignment of collagen fibrils using 3D cell printing for corneal stroma tissue engineering.,2019,Biofabrication,10.1088/1758-5090/ab1a8b,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0153,31009395,"Effects of Soft Toric, Rigid Gas-Permeable, and Mini-Scleral Lenses on Corneal Microstructure Using Confocal Microscopy.",2020,Eye & contact lens,10.1097/ICL.0000000000000612,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0175,31349505,Compressed collagen intermixed with cornea-derived decellularized extracellular matrix providing mechanical and biochemical niches for corneal stroma analogue.,2019,"Materials science & engineering. C, Materials for biological applications",10.1016/j.msec.2019.109837,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0177,31373143,Successful development and clinical translation of a novel anterior lamellar artificial cornea.,2019,Journal of tissue engineering and regenerative medicine,10.1002/term.2951,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0195,31507241,Methacrylated gelatin hydrogels as corneal stroma substitutes: in vivo study.,2019,Journal of biomaterials science. Polymer edition,10.1080/09205063.2019.1666236,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0196,31514545,Development and Characterization of an Acellular Porcine Small Intestine Submucosa Scaffold for Use in Corneal Epithelium Tissue Engineering.,2020,Current eye research,10.1080/02713683.2019.1663386,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0201,31539656,Characterizing the impact of 2D and 3D culture conditions on the therapeutic effects of human mesenchymal stem cell secretome on corneal wound healing in vitro and ex vivo.,2019,Acta biomaterialia,10.1016/j.actbio.2019.09.022,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0205,31574405,Tissue adhesive hyaluronic acid hydrogels for sutureless stem cell delivery and regeneration of corneal epithelium and stroma.,2019,Biomaterials,10.1016/j.biomaterials.2019.119516,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0219,31692998,Matrix Metalloproteinase-Deactivating Contact Lens for Corneal Melting.,2019,ACS biomaterials science & engineering,10.1021/acsbiomaterials.8b01404,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0221,31746842,Cell loaded 3D bioprinted GelMA hydrogels for corneal stroma engineering.,2019,Biomaterials science,10.1039/c9bm01236b,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0224,31751429,Treatment of corneal endothelial damage in a rabbit model with a bioengineered graft using human decellularized corneal lamina and cultured human corneal endothelium.,2019,PloS one,10.1371/journal.pone.0225480,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0227,31811387,Cell Loaded GelMA:HEMA IPN hydrogels for corneal stroma engineering.,2019,Journal of materials science. Materials in medicine,10.1007/s10856-019-6345-4,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0232,31867140,Confocal and Histological Features After Poly(Ethylene Glycol) Diacrylate Corneal Inlay Implantation.,2019,Translational vision science & technology,10.1167/tvst.8.6.39,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0240,31956817,Construction and Evaluation of Collagen-Based Corneal Grafts Using Polycaprolactone To Improve Tension Stress.,2020,ACS omega,10.1021/acsomega.9b03297,epithelium_limbus,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0253,32097748,Multifunctional synthetic Bowman's membrane-stromal biomimetic for corneal reconstruction.,2020,Biomaterials,10.1016/j.biomaterials.2020.119880,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0255,32188843,Fiber reinforced GelMA hydrogel to induce the regeneration of corneal stroma.,2020,Nature communications,10.1038/s41467-020-14887-9,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0269,32343943,A core-skirt designed artificial cornea with orthogonal microfiber grid scaffold.,2020,Experimental eye research,10.1016/j.exer.2020.108037,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0270,32363924,In Vitro Evaluation and Transplantation of Human Corneal Endothelial Cells Cultured on Biocompatible Carriers.,2020,Cell transplantation,10.1177/0963689720923577,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0273,32368948,Engineering a Corneal Stromal Equivalent Using a Novel Multilayered Fabrication Assembly Technique.,2020,Tissue engineering. Part A,10.1089/ten.TEA.2020.0019,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0284,32504140,Stereolithography 3D Bioprinting Method for Fabrication of Human Corneal Stroma Equivalent.,2020,Annals of biomedical engineering,10.1007/s10439-020-02537-6,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0285,32504216,Preparation of collagen/cellulose nanocrystals composite films and their potential applications in corneal repair.,2020,Journal of materials science. Materials in medicine,10.1007/s10856-020-06386-6,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0289,32526297,Corneal stromal regeneration by hybrid oriented poly (ε-caprolactone)/lyophilized silk fibroin electrospun scaffold.,2020,International journal of biological macromolecules,10.1016/j.ijbiomac.2020.06.045,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0307,32652228,Biomimetic corneal stroma using electro-compacted collagen.,2020,Acta biomaterialia,10.1016/j.actbio.2020.07.004,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0308,32652796,Decellularized human corneal stromal cell sheet as a novel matrix for ocular surface reconstruction.,2020,Journal of tissue engineering and regenerative medicine,10.1002/term.3103,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0317,32743953,Sustained Release of TPCA-1 from Silk Fibroin Hydrogels Preserves Keratocyte Phenotype and Promotes Corneal Regeneration by Inhibiting Interleukin-1β Signaling.,2020,Advanced healthcare materials,10.1002/adhm.202000591,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0329,32841745,Decellularized porcine cornea-derived hydrogels for the regeneration of epithelium and stroma in focal corneal defects.,2020,The ocular surface,10.1016/j.jtos.2020.07.020,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0344,33028837,In situ-forming collagen hydrogel crosslinked via multi-functional PEG as a matrix therapy for corneal defects.,2020,Scientific reports,10.1038/s41598-020-72978-5,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0346,33037282,A porous collagen-based hydrogel and implantation method for corneal stromal regeneration and sustained local drug delivery.,2020,Scientific reports,10.1038/s41598-020-73730-9,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0365,33288782,Deciphering the mechanoresponsive role of β-catenin in keratoconus epithelium.,2020,Scientific reports,10.1038/s41598-020-77138-3,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0381,33463211,Hybrid Cornea: Cell Laden Hydrogel Incorporated Decellularized Matrix.,2020,ACS biomaterials science & engineering,10.1021/acsbiomaterials.9b01286,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0386,33538123,Cell sheet technology: Influence of culture conditions on in vitro-cultivated corneal stromal tissue for regenerative therapies of the ocular surface.,2021,"Journal of biomedical materials research. Part B, Applied biomaterials",10.1002/jbm.b.34808,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0387,33542377,A decellularized human corneal scaffold for anterior corneal surface reconstruction.,2021,Scientific reports,10.1038/s41598-021-82678-3,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0388,33545838,Construction of bioengineered corneal stromal implants using an allogeneic cornea-derived matrix.,2021,"Materials science & engineering. C, Materials for biological applications",10.1016/j.msec.2020.111673,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0392,33586332,Limbal Stem Cells on Bacterial Nanocellulose Carriers for Ocular Surface Regeneration.,2021,"Small (Weinheim an der Bergstrasse, Germany)",10.1002/smll.202003937,epithelium_limbus,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0395,33603277,Simultaneous Interpenetrating Polymer Network of Collagen and Hyaluronic Acid as an In Situ-Forming Corneal Defect Filler.,2020,Chemistry of materials : a publication of the American Chemical Society,10.1021/acs.chemmater.0c01307,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0398,33659091,Quantitative measurement of mechanical properties in wound healing processes in a corneal stroma model by using vibrational optical coherence elastography (OCE).,2021,Biomedical optics express,10.1364/BOE.404096,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0406,33760451,Artificial Corneal Transplantation.,2026,,,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0408,33768381,"A novel human donor cornea preservation cocktail incorporating a thermo-reversible gelation polymer (TGP), enhancing the corneal endothelial cell density maintenance and explant culture of corneal limbal cells.",2021,Biotechnology letters,10.1007/s10529-021-03116-y,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0409,33782482,Biofabrication of chitosan/chitosan nanoparticles/polycaprolactone transparent membrane for corneal endothelial tissue engineering.,2021,Scientific reports,10.1038/s41598-021-86340-w,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0419,33918484,Human Cadaveric Donor Cornea Derived Extra Cellular Matrix Microparticles for Minimally Invasive Healing/Regeneration of Corneal Wounds.,2021,Biomolecules,10.3390/biom11040532,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0422,33955160,Characterization of Tunable Poly-ε-Lysine-Based Hydrogels for Corneal Tissue Engineering.,2021,Macromolecular bioscience,10.1002/mabi.202100036,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0430,34061862,The effect of prior long-term recellularization with keratocytes of decellularized porcine corneas implanted in a rabbit anterior lamellar keratoplasty model.,2021,PloS one,10.1371/journal.pone.0245406,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0433,34119551,The effect of biodegradable silk fibroin-based scaffolds containing glial cell line-derived neurotrophic factor (GDNF) on the corneal regeneration process.,2021,International journal of biological macromolecules,10.1016/j.ijbiomac.2021.06.040,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0444,34252899,Fabrication and Characterization of Silk Fibroin-Based Nanofibrous Scaffolds Supplemented with Gelatin for Corneal Tissue Engineering.,2021,"Cells, tissues, organs",10.1159/000515946,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0450,34330126,Bioprinting of dual ECM scaffolds encapsulating limbal stem/progenitor cells in active and quiescent statuses.,2021,Biofabrication,10.1088/1758-5090/ac1992,epithelium_limbus,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0453,34400306,Hydrogels derived from acellular porcine corneal stroma enhance corneal wound healing.,2021,Acta biomaterialia,10.1016/j.actbio.2021.08.011,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0468,34537415,Supramolecular host-guest hyaluronic acid hydrogels enhance corneal wound healing through dynamic spatiotemporal effects.,2022,The ocular surface,10.1016/j.jtos.2021.09.002,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0482,34665455,Preparation and In Vitro Characterization of Gelatin Methacrylate for Corneal Tissue Engineering.,2022,Tissue engineering and regenerative medicine,10.1007/s13770-021-00393-6,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0484,34677503,Preliminary Study on Fish Scale Collagen Lamellar Matrix as Artificial Cornea.,2021,Membranes,10.3390/membranes11100737,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0499,34923312,Exosomes-loaded thermosensitive hydrogels for corneal epithelium and stroma regeneration.,2022,Biomaterials,10.1016/j.biomaterials.2021.121320,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0521,35120168,Bio-fabrication of stem-cell-incorporated corneal epithelial and stromal equivalents from silk fibroin and gelatin-based biomaterial for canine corneal regeneration.,2022,PloS one,10.1371/journal.pone.0263141,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0530,35229601,Tissue-Engineered Corneal Endothelial Sheets Using Ultrathin Acellular Porcine Corneal Stroma Substrates for Endothelial Keratoplasty.,2022,ACS biomaterials science & engineering,10.1021/acsbiomaterials.2c00039,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0538,35362956,Scaffold-Free Strategy Using a PEG-Dextran Aqueous Two-Phase-System for Corneal Tissue Repair.,2022,ACS biomaterials science & engineering,10.1021/acsbiomaterials.1c01500,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0540,35386466,3D printed biomimetic epithelium/stroma bilayer hydrogel implant for corneal regeneration.,2022,Bioactive materials,10.1016/j.bioactmat.2022.01.034,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0544,35456684,Hydrogels as Corneal Stroma Substitutes for In Vitro Evaluation of Drug Ocular Permeation.,2022,Pharmaceutics,10.3390/pharmaceutics14040850,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0547,35528407,Microgrooved collagen-based corneal scaffold for promoting collective cell migration and antifibrosis.,2019,RSC advances,10.1039/c9ra04009a,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0548,35562005,LM22B-10 promotes corneal nerve regeneration through in vitro 3D co-culture model and in vivo corneal injury model.,2022,Acta biomaterialia,10.1016/j.actbio.2022.05.010,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0556,35741104,P-Cadherin Is Expressed by Epithelial Progenitor Cells and Melanocytes in the Human Corneal Limbus.,2022,Cells,10.3390/cells11121975,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0560,35769102,Electron-Beam Irradiated Recombinant Human Collagen-Phosphorylcholine Corneal Implants Retain Pro-Regeneration Capacity.,2022,Frontiers in bioengineering and biotechnology,10.3389/fbioe.2022.883977,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0582,36040708,Natural Dual-Crosslinking Bioadhesive Hydrogel for Corneal Regeneration in Large-Size Defects.,2022,Advanced healthcare materials,10.1002/adhm.202201576,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0585,36063670,Reconstructing auto tissue engineering lamellar cornea with aspartic acid modified acellular porcine corneal stroma and preconditioned limbal stem cell for corneal regeneration.,2022,Biomaterials,10.1016/j.biomaterials.2022.121745,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0596,36239965,In Situ-Forming Collagen-Hyaluronate Semi-Interpenetrating Network Hydrogel Enhances Corneal Defect Repair.,2022,Translational vision science & technology,10.1167/tvst.11.10.22,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0601,36356877,Silk fibroin based interpenetrating network hydrogel for corneal stromal regeneration.,2022,International journal of biological macromolecules,10.1016/j.ijbiomac.2022.11.021,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0602,36370413,An in vitro comparison of human corneal epithelial cell activity and inflammatory response on differently designed ocular amniotic membranes and a clinical case study.,2023,"Journal of biomedical materials research. Part B, Applied biomaterials",10.1002/jbm.b.35186,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0603,36416454,Electrospun-Reinforced Suturable Biodegradable Artificial Cornea.,2022,ACS applied bio materials,10.1021/acsabm.2c00751,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0605,36458563,Use of Decellularized SMILE (Small-Incision Lenticule Extraction) Lenticules for Engineering the Corneal Endothelial Layer: A Proof-of-Concept.,2023,Current eye research,10.1080/02713683.2022.2151018,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0606,36497012,Transcriptomic Landscape and Functional Characterization of Human Induced Pluripotent Stem Cell-Derived Limbal Epithelial Progenitor Cells.,2022,Cells,10.3390/cells11233752,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0616,36579828,Hyaluronic acid based next generation bioink for 3D bioprinting of human stem cell derived corneal stromal model with innervation.,2022,Biofabrication,10.1088/1758-5090/acab34,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0620,36638943,An electrospun scaffold functionalized with a ROS-scavenging hydrogel stimulates ocular wound healing.,2023,Acta biomaterialia,10.1016/j.actbio.2023.01.016,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0626,36729619,Intracorneal Implantation of 3D Bioprinted Scaffolds Containing Mesenchymal Stromal Cells Using Femtosecond-Laser-Assisted Intrastromal Keratoplasty.,2023,Macromolecular bioscience,10.1002/mabi.202200422,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0637,36844364,"A ""T.E.S.T."" hydrogel bioadhesive assisted by corneal cross-linking for in situ sutureless corneal repair.",2023,Bioactive materials,10.1016/j.bioactmat.2023.02.006,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0646,36989713,Successful restoration of corneal surface integrity with a tissue-engineered allogeneic implant in severe keratitis patients.,2023,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,10.1016/j.biopha.2023.114612,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0648,37019117,Digital light processing-bioprinted poly-NAGA-GelMA-based hydrogel lenticule for precise refractive errors correction.,2023,Biofabrication,10.1088/1758-5090/accaab,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0652,37056274,MiRNA 24-3p-rich exosomes functionalized DEGMA-modified hyaluronic acid hydrogels for corneal epithelial healing.,2023,Bioactive materials,10.1016/j.bioactmat.2022.07.011,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0663,37126648,Collagen Gels Crosslinked by Photoactivation of Riboflavin for the Repair and Regeneration of Corneal Defects.,2023,ACS applied bio materials,10.1021/acsabm.3c00015,epithelium_limbus,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0672,37273996,3D bioprinting as a prospective therapeutic strategy for corneal limbal epithelial stem cell deficiency.,2023,International journal of bioprinting,10.18063/ijb.710,epithelium_limbus,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0674,37282676,21 Denuded descemet's membrane as potential tool to support human embryonic stem cell derived retinal pigment epithelial cells culture.,2022,BMJ open ophthalmology,10.1136/bmjophth-2022-EEBA.21,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0684,37401723,Introducing Dynamicity: Engineering Stress Relaxation Into Hydrogels Via Thiol-Ene Modified Alginate for Mechanobiological in vitro Modeling of the Cornea.,2024,Macromolecular bioscience,10.1002/mabi.202300109,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
