screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes,final_core_status,strict_final_status,endothelium_relevance_score,endothelium_relevance_terms,recommended_action,strict_endothelium_decision,strict_endothelium_reason,epithelium_limbus_relevance_score,epithelium_limbus_relevance_terms,strict_epithelium_limbus_decision,strict_epithelium_limbus_reason,top_tier_score,top_tier_reason,top_tier_decision,refined_top_tier_decision,refined_top_tier_reason,strict_retrieval_score,strict_retrieval_reason,has_clinical,has_in_vivo,has_ex_vivo,has_material,has_benchmark,has_reconstruction,strict_retrieval_group,original_corneal_layer,layer_correction_status,layer_correction_basis,audit_inferred_layer
PUBMED_0049,29637812,Preserving Basement Membranes during Detachment of Cultivated Oral Mucosal Epithelial Cell Sheets for the Treatment of Total Bilateral Limbal Stem Cell Deficiency.,"Total bilateral limbal stem cell deficiency leading to loss of corneal clarity, potential vision loss, pain, photophobia, and keratoplasty failure cannot be treated by autologous limbal transplantation, and allogeneic limbal transplantation requires subsequent immunosuppressive treatment. Cultured autologous oral mucosal epithelial cells have been shown to be safe and effective alternatives. These cells can be transplanted on supports or without support after detachment from the culture dishes. Dispase, known for epidermal sheet detachment, is reported as not usable for oral mucosa. The objective was to find an optimized detachment method providing a sufficiently resistant and adhesive cultured oral mucosal epithelium (COME), which can be grafted without sutures. Enzymatic treatments (dispase or collagenase at different concentrations) were compared to enzyme-free mechanical detachment. Histological immunofluorescence (IF) and Western blotting (WB) were used to examine the impact on adhesion markers (laminin-332, β1-integrin, and type VII collagen) and junctional markers (E-cadherin, P-cadherin). Finally, the COME ability to adhere to the cornea and produce a differentiated epithelium 15 d after grafting onto an ex vivo porcine stroma model were investigated by histology, IF, and transmission electron microscopy. Collagenase at 0.5 mg/mL and dispase at 5 mg/mL were selected for comparative study on adhesive expression marker by IF and WB showed that levels of basement membrane proteins and cell-cell and cell-matrix junction proteins were not significantly different between the 3 detachment methods. Collagenase 0.5 mg/mL was selected for the next step validation because of the better reproducibility, 100% success (vs. 33% with dispase 5 mg/mL). Grafted onto porcine de-epithelialized corneal stroma, collagenase 0.5 mg/mL detached COME were found to adhere, stratify, and continue to ensure renewal of the epithelium. For COME, collagenase 0.5 mg/mL enzymatic detachment was selected and validated on its resistance and adhesive marker expression as well as their anchorage onto our new ex vivo de-epithelialized stroma model.",2018,Cell transplantation,10.1177/0963689717741140,A3_epithelium_limbus;B3_stroma,2,Include,,epithelium_limbus,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,19,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,yes,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0395,33603277,Simultaneous Interpenetrating Polymer Network of Collagen and Hyaluronic Acid as an In Situ-Forming Corneal Defect Filler.,"Timely treatment of corneal injuries injury can help to prevent corneal scarring, blindness, and the need for corneal transplantation. This work describes a novel hydrogel that can fill corneal defects and assist in corneal regeneration. This hydrogel is a simultaneous interpenetrating polymer network (IPN) composed of collagen cross-linked via strain-promoted azide-alkyne cycloaddition reaction and hyaluronic acid cross-linked via thiol-ene Michael click reaction. The formation of the IPN gel was confirmed via FTIR spectra, UV-vis spectra, and morphological changes. We compared the gelation time, mechanical properties, transmittance, and refractive index of the IPN gel to the collagen gel, hyaluronic acid gel, and semi-IPN gel. The IPN combined the advantages of collagen and hyaluronic acid gels and supported corneal epithelial cell growth on its surface. When applied to corneal stromal defects in vivo, the IPN avoided epithelial hyperplasia, decreased stromal myofibroblast formation, and increased tight junction formation in the regenerated epithelium.",2020,Chemistry of materials : a publication of the American Chemical Society,10.1021/acs.chemmater.0c01307,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0453,34400306,Hydrogels derived from acellular porcine corneal stroma enhance corneal wound healing.,"Acellular cornea derived hydrogels provide significant advantages in preserving native corneal stromal keratocyte cells and endothelial cells. However, for clinical application, hydrogel physical properties need to be improved, and their role in corneal epithelial wound healing requires further investigation. In this study, an acellular porcine corneal stroma (APCS) hydrogel (APCS-gel) was successfully prepared from 20 mg/ml APCS, demonstrated optimal light transmittance and gelation kinetic properties and retained critical corneal ECM of collagens and growth factors. Compared with fibrin gel, the APCS-gel had a higher porosity ratio and faster nutrition diffusion with an accompanying improvement in the proliferation of primary rabbit corneal epithelial cells (RCECs) and stromal cells (RCSCs). These corneal cell types also displayed improved viability and cellular infiltration. Furthermore, the APCS-gel provides significant advantages in the preservation of RCECs stemness and enhancement of corneal wound healing in vitro and in vivo. After 7 days of culture, 3-4 layers of RCECs were formed on the APCS-gel in vitro, while only 1-2 layers were found on the fibrin gel. More corneal stem/progenitor cell phenotypes (K12-, p63+, ABCG2+) and proliferation phenotypes (Ki67+) were detected on the APCS-gel than fibrin gel. Using a corneal epithelial wound healing model, we also found faster reepithelization in corneas that received APCS-gel compared to fibrin gel. Additionally, our APCS-gel demonstrated better physical and biological properties when compared to Tisseel, a clinically used type of fibrin gel. In conclusion, our APCS-gel provided better corneal epithelial and stromal cell biocompatibility to fibrin gels and due to its transparency and faster gelation time could potentially be superior for clinical purposes. STATEMENT OF SIGNIFICANCE: Extracellular matrix (ECM) can be used to provide tissue specific physical microstructure and biochemical cues for tissue regeneration. Here, we produced an ECM hydrogel derived from acellular porcine cornea stroma (APCS-gel) that retained critical biological characteristics of the native tissue and provided significant transparency and fast gelation time. Our data demonstrated that the APCS-gel was superior to clinically used fibrin gel, as the APCS-gel showed high porosity and permeability, better corneal stromal keratocytes infiltration, increased cellular proliferation and retention of corneal epithelial cells stemness. The APCS-gel improved corneal wound healing in vitro and in vivo. This APCS-gel may have clinical utility for corneal diseases, and the more general approach used to make this hydrogel might be used in other tissues.",2021,Acta biomaterialia,10.1016/j.actbio.2021.08.011,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0582,36040708,Natural Dual-Crosslinking Bioadhesive Hydrogel for Corneal Regeneration in Large-Size Defects.,"Corneal injectable hydrogels represent a promising alternative to alleviate donor shortage and simplify traditional surgeries. However, most hydrogels focus on repairing focal corneal defects (≤3.5 mm) and leave many clinical requirements unmet. Herein, a novel ion-activated bioadhesive hydrogel (IonBAH) is designed and its long-term performance of repairing large corneal defects (6 mm) is evaluated in rabbits for 6 months. The IonBAH is a dual-network hydrogel composed of natural corneal extracellular matrix and peptide-modified alginate, which enables its desirable transparency and biocompatibility, tunable mechanics, and robust adhesion. Moreover, the IonBAH maintains the secretory phenotype of quiescent keratocytes, while preventing their myofibroblastic differentiation in vitro. Upon application in situ, it rapidly seals the 6 mm corneal defect and forms normal curvature through the coverage of a contact lens impregnated with calcium ions. During the 6 months follow-up, the IonBAH promotes rapid regeneration of corneal epithelium, stroma, and nerves with restored transparency, equivalent to the outcome of donor corneal transplantation. In addition, the suitability of IonBAH as an adhesive and patch for various clinical requirements are also evaluated with a pleasing outcome. Collectively, IonBAH may provide a clinically applicable scaffold for corneal surgeries, especially in large defect repair.",2022,Advanced healthcare materials,10.1002/adhm.202201576,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core - cautious,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0585,36063670,Reconstructing auto tissue engineering lamellar cornea with aspartic acid modified acellular porcine corneal stroma and preconditioned limbal stem cell for corneal regeneration.,"Tissue engineering cornea has shown great clinical potential for cornea reconstruction, but efficient recovery of natural structure and physiological function remains great challenges. In this study, the acellular porcine corneal stroma (APCS) was prepared by a phospholipase A(2) decellularization method and further crosslinked with aspartic acid (Asp). The modified APCS-Asp scaffold showed significant increase of hydration degree, ultrastructure regularity, corneal viscoelasticity and anti-degradation ability compared to APCS. Autologous rabbit limbal tissue was pre-treated by tumor necrosis factor-alpha (TNF-α) and collagenase IV, and the pretreated primary limbal stem cells (LSCs) were cultured with embryonic stem cells conditioned medium (ESCM), and LSCs showed 3D cell sphere structure and improved stem cell properties compared to the control group. The auto-tissue engineering lamellar cornea (ATELC) was quickly reconstructed by using peptide hydrogel with a dynamic culture system. With intact and functional epithelial cell layer, the reconstructed ATELC quickly recovered natural optical characteristics 1 week post transplantation in the rabbit lamellar keratoplasty model and satisfying neural regrowth as well as favorable stromal repopulation were observed in the transplanted eyes in the 6 months following up post-surgery. In summary, this study provides a comprehensive optimized reconstruction strategy for ATELC, which maybe similar medical application to natural cornea.",2022,Biomaterials,10.1016/j.biomaterials.2022.121745,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0620,36638943,An electrospun scaffold functionalized with a ROS-scavenging hydrogel stimulates ocular wound healing.,"Ocular alkali burn is a serious ophthalmic emergency. Highly penetrative alkalis cause strong inflammatory responses leading to persistent epithelial defects, acute corneal perforation and severe scarring, and thereby persistent pain, loss of vision and cicatricial sequelae. Early and effective anti-inflammation management is vital in reducing the severity of injury. In this study, a double network biomaterial was prepared by compounding electrospinning nanofibres of thioketal-containing polyurethane (PUTK) with a reactive oxygen species (ROS)-scavenging hydrogel (RH) fabricated by crosslinking poly(poly(ethylene glycol) methyl ether methacrylate-co-glycidyl methacrylate) with thioketal diamine and 3,3'-dithiobis(propionohydrazide). The developed PUTK/RH patch exhibited good transparency, high tensile strength and increased hydrophilicity. Most importantly, it demonstrated strong antioxidant activity against H(2)O(2) and 2,2-di(4-tert-octylphenyl)-1-picryl-hydrazyl (DPPH). Next, a rat corneal alkali burn model was established, and the PUTK/RH patch was transplanted on the injured cornea. Reduced inflammatory cell infiltration was revealed by confocal microscopy, and lower expression levels of genes relative to inflammation, vascularization and scarring were identified by qRT-PCR and western blot. Fluorescein sodium dyeing, hematoxylin and eosin (H&E) staining and immunohistochemical staining confirmed that the PUTK/RH patch could accelerate corneal wound healing by inhibiting inflammation, promoting epithelial regeneration and decreasing scar formation. STATEMENT OF SIGNIFICANCE: Ocular alkali burn is a serious ophthalmic emergency, characterized with persistent inflammation and irreversible vision loss. Oxidative stress is the main pathological process at the acute inflammatory stage, during which combined use of glucocorticoids and amniotic membrane transplantation is the most widely accepted treatment. In this study, we fabricated a polyurethane electrospun nanofiber membrane functionalized with a ROS-scavenging hydrogel. This composite patch could be a promising amniotic membrane substitute, possessing with a transparent appearance, elasticity and anti-inflammation effect. It could be easily transplanted onto the alkali-burned corneas, resulting in a significant inhibition of stromal inflammation and accelerating the recovery of corneal transparency. The conception of ROS-scavenging wound patch may offer a new way for ocular alkali burn.",2023,Acta biomaterialia,10.1016/j.actbio.2023.01.016,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core - cautious,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0637,36844364,"A ""T.E.S.T."" hydrogel bioadhesive assisted by corneal cross-linking for in situ sutureless corneal repair.","Corneal transplantation is an effective clinical treatment for corneal diseases, which, however, is limited by donor corneas. It is of great clinical value to develop bioadhesive corneal patches with functions of ""Transparency"" and ""Epithelium & Stroma generation"", as well as ""Suturelessness"" and ""Toughness"". To simultaneously meet the ""T.E.S.T."" requirements, a light-curable hydrogel is designed based on methacryloylated gelatin (GelMA), Pluronic F127 diacrylate (F127DA) & Aldehyded Pluronic F127 (AF127) co-assembled bi-functional micelles and collagen type I (COL I), combined with clinically applied corneal cross-linking (CXL) technology for repairing damaged cornea. The patch formed after 5 min of ultraviolet irradiation possesses transparent, highly tough, and strongly bio-adhesive performance. Multiple cross-linking makes the patch withstand deformation near 600% and exhibit a burst pressure larger than 400 mmHg, significantly higher than normal intraocular pressure (10-21 mmHg). Besides, the slower degradation than GelMA-F127DA&AF127 hydrogel without COL I makes hydrogel patch stable on stromal beds in vivo, supporting the regrowth of corneal epithelium and stroma. The hydrogel patch can replace deep corneal stromal defects and well bio-integrate into the corneal tissue in rabbit models within 4 weeks, showing great potential in surgeries for keratoconus and other corneal diseases by combining with CXL.",2023,Bioactive materials,10.1016/j.bioactmat.2023.02.006,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0648,37019117,Digital light processing-bioprinted poly-NAGA-GelMA-based hydrogel lenticule for precise refractive errors correction.,"Refractive disorder is the most prevalent cause of visual impairment worldwide. While treatment of refractive errors can bring improvement to quality of life and socio-economic benefits, there is a need for individualization, precision, convenience, and safety with the chosen method. Herein, we propose using pre-designed refractive lenticules based on poly-NAGA-GelMA (PNG) bio-inks photo-initiated by digital light processing (DLP)-bioprinting for correcting refractive errors. DLP-bioprinting allows PNG lenticules to have individualized physical dimensions with precision achievable to 10µm (μm). Material characteristics of PNG lenticules in tests included optical and biomechanical stability, biomimetical swelling and hydrophilic capability, nutritional and visual functionality, supporting its suitability as stromal implants. Cytocompatibility distinguished by morphology and function of corneal epithelial, stromal, and endothelial cells on PNG lenticules suggested firm adhesion, over 90% viability, phenotypic maintenance instead of excessive keratocyte-myofibroblast transformation.In-vitroimmune response analyzed by illumina RNA sequencing in human peripheral blood mononuclear cells indicated that PNG lenticules activated type-2 immunity, facilitating tissue regeneration and suppressing inflammation.In-vivoperformance assessed using intrastromal keratoplasty models in New Zealand white rabbits illustrated that implantation of PNG lenticules maintained stable optical pathway, induced controlled stromal bio-integration and regeneration, avoided complications such as stromal melt, interface scarring, etc, but exerted no adverse effects on the host. Postoperative follow-up examination on intraocular pressure, corneal sensitivity, and tear production remained unaffected by surgery up to 1-month post-implantation of PNG lenticules. DLP-bioprinted PNG lenticule is a bio-safe and functionally effective stromal implants with customizable physical dimensions, providing potential therapeutic strategies in correction of refractive errors.",2023,Biofabrication,10.1088/1758-5090/accaab,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0151,30989737,Construction of a high cell density human corneal endothelial equivalent and its transplantation in primate models.,"BACKGROUND: Recently, many patients with corneal blindness caused by endothelial dysfunction have no opportunity to receive keratoplasty therapy because of the extremely limited number of donor corneas. Corneal tissue engineering opens a new path for in vitro reconstruction of tissue-engineered HCE which will cure the corneal endotheliopathy by clinical corneal transplantation. In this study, we construct a human corneal endothelium (HCE) equivalent with non-transfected monoclonal HCE (mcHCE) cells and modified denuded amniotic membrane (mdAM), and evaluate its functions in monkey models. METHODS: Tissue-engineered HCE (TE-HCE) was constructed by culturing DiI-labeled mcHCE cells on mdAMs in 20% fetal bovine serum-containing DMEM/Ham's Nutrient Mixture F12 (1:1) medium and 5% CO(2) at 37°C on a 24-well culture plate. The constructed TE-HCE was transplanted into monkey corneas via penetrating keratoplasty with Descemet's membrane and endothelium stripped. The corneal transparency, thickness, and intraocular pressure were monitored in vivo, and the corneal morphology and histological structure were examined ex vivo 181 days after surgery. RESULTS: The constructed TE-HCE, with an average density of 3602.22 ± 45.22 cells/mm(2) , mimicked its natural counterpart both in morphology and histological structure. In vivo, corneal transparency was maintained, and the corneal thickness gradually decreased to 567.33 ± 72.77 μm at day 181 after TE-HCE transplanted into monkey eyes, while intense corneal edema and turbid were found in mdAM-transplanted eyes with their corneal thicknesses maintained over 1000 μm during the monitoring period. Ex vivo, a monolayer of corneal endothelium, consisting of mcHCE cells at a density of 2795.65 ± 156.83 cells/mm(2) , was reconstructed in transplanted monkey eyes. The cells in the transplanted area had the hexagonal or polygonal morphology and normal ultrastructure, and established plenty of cell-cell and cell-stromal matrix junctions. Besides, huge membrane-bounded flat stacks with electric dense inclusions were found in mcHCE cells beneath the plasma membrane at the stromal side. CONCLUSIONS: The constructed TE-HCE has normal histological property and functions well in monkey models. The TE-HCE could be used as a promising HCE equivalent in therapy of corneal endothelium dysfunction and corneal regenerative medicine.",2019,Xenotransplantation,10.1111/xen.12514,B3_stroma;C4_endothelium;D3_full_thickness_multilayer,3,Include,,endothelium,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core,,,,,,,,,,,,,,,19,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,yes,yes,yes,yes,Priority 1 - strict retrieval shortlist,stroma,corrected,manual correction after first-batch layer-label audit,endothelium
PUBMED_0016,29176452,Collagen-Based Fillers as Alternatives to Cyanoacrylate Glue for the Sealing of Large Corneal Perforations.,"PURPOSE: To describe the use of collagen-based alternatives to cyanoacrylate glue for the sealing of acute corneal perforations. METHODS: A collagen analog comprising a collagen-like peptide conjugated to polyethylene glycol (CLP-PEG) and its chemical crosslinker were tested for biocompatibility. These CLP-PEG hydrogels, which are designed to act as a framework for corneal tissue regeneration, were then tested as potential fillers in ex vivo human corneas with surgically created full-thickness perforations. Bursting pressures were measured in each of 3 methods (n = 10 for each condition) of applying a seal: 1) cyanoacrylate glue with a polyethylene patch applied ab externo (gold standard); 2) a 100-μm thick collagen hydrogel patch applied ab interno, and 3) the same collagen hydrogel patch applied ab interno supplemented with CLP-PEG hydrogel molded in situ to fill the remaining corneal stromal defect. RESULTS: Cyanoacrylate gluing achieved a mean bursting pressure of 325.9 mm Hg, significantly higher than the ab interno patch alone (46.3 mm Hg) and the ab interno patch with the CLP-PEG filler (86.6 mm Hg). All experimental perforations were sealed effectively using 100 μm hydrogel sheets as an ab interno patch, whereas conventional ab externo patching with cyanoacrylate glue failed to provide a seal in 30% (3/10) cases. CONCLUSIONS: An ab interno patch system using CLP-PEG hydrogels designed to promote corneal tissue regeneration may be a viable alternative to conventional cyanoacrylate glue patching for the treatment of corneal perforation. Further experimentation and material refinement is required in advance of clinical trials.",2018,Cornea,10.1097/ICO.0000000000001459,B3_stroma;D3_full_thickness_multilayer,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,17,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; reconstruction/regeneration relevance,yes,yes,yes,yes,no,yes,Priority 1 - strict retrieval shortlist,stroma,corrected,manual correction after first-batch layer-label audit,multiple_layers
PUBMED_0224,31751429,Treatment of corneal endothelial damage in a rabbit model with a bioengineered graft using human decellularized corneal lamina and cultured human corneal endothelium.,"OBJECTIVE: We aimed to investigate the functionality of human decellularized stromal laminas seeded with cultured human corneal endothelial cells as a tissue engineered endothelial graft (TEEK) construct to perform endothelial keratoplasty in an animal model of corneal endothelial damage. METHODS: Engineered corneal endothelial grafts were constructed by seeding cultured human corneal endothelial cell (hCEC) suspensions onto decellularized human corneal stromal laminas with various coatings. The functionality and survival of these grafts with cultured hCECs was examined in a rabbit model of corneal endothelial damage after central descemetorhexis. Rabbits received laminas with and without hCECs (TEEK and control group, respectively). RESULTS: hCEC seeding over fibronectin-coated laminas provided an optimal and consistent endothelial cell count density and polygonal shape on the decellularized laminas, showing active pump fuction. Surgery was performed uneventfully as standard Descemet stripping automated endothelial keratoplasty (DSAEK). Corneal transparency gradually recovered in the TEEK group, whereas haze and edema persisted for up to 4 weeks in the controls. Histologic examination showed endothelial cells of human origin covering the posterior surface of the graft in the TEEK group. CONCLUSIONS: Grafting of decellularized stroma carriers re-surfaced with human corneal endothelial cells ex vivo can be a readily translatable method to improve visual quality in corneal endothelial diseases.",2019,PloS one,10.1371/journal.pone.0225480,B3_stroma;C4_endothelium;D3_full_thickness_multilayer,3,Include,,endothelium,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,17,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely,yes,yes,yes,yes,yes,no,Priority 1 - strict retrieval shortlist,stroma,corrected,manual correction after first-batch layer-label audit,endothelium
PUBMED_0106,30339045,Evaluation of the Suitability of Biocompatible Carriers as Artificial Transplants Using Cultured Porcine Corneal Endothelial Cells.,"Purpose/Aim: Evaluating the suitability of bioengineered collagen sheets and human anterior lens capsules (HALCs) as carriers for cultivated porcine corneal endothelial cells (pCECs) and in vitro assessment of the cell-carrier sheets as tissue-engineered grafts for Descemet membrane endothelial keratoplasty (DMEK). MATERIALS AND METHODS: pCECs were isolated, cultured up to P2 and seeded onto LinkCell™ bioengineered matrices of 20 µm (LK20) or 100 µm (LK100) thickness, and on HALC. During expansion, pCEC viability and morphology were assessed by light microscopy. ZO-1 and Na(+)/K(+)-ATPase expression was investigated by immunohistochemistry. Biomechanical properties of pCEC-carrier constructs were evaluated by simulating DMEK surgery in vitro using an artificial anterior chamber (AC) and a human donor cornea without Descemet membrane (DM). RESULTS: During in vitro expansion, cultured pCECs retained their proliferative capacity, as shown by the positive staining for proliferative marker Ki67, and a high cell viability rate (96 ± 5%). pCECs seeded on all carriers formed a monolayer of hexagonal, tightly packed cells that expressed ZO-1 and Na(+)/K(+)-ATPase. During in vitro surgery, pCEC-LK20 and pCEC-LK100 constructs were handled like Descemet stripping endothelial keratoplasty (DSEK) grafts, i.e. folded like a ""taco"" for insertion because of challenges related to rolling and sticking of the grafts in the injector. pCEC-HALC constructs behaved similar to the DMEK reference model during implantation and unfolding in the artificial AC, showing good adhesion to the bare stroma. CONCLUSIONS: In vitro DMEK surgery showed HALC as the most suitable carrier for cultivated pCECs with good intraoperative graft handling. LK20 carrier showed good biocompatibility, but required a DSEK-adapted surgical protocol. Both carriers might be notional candidates for potential future clinical applications.",2019,Current eye research,10.1080/02713683.2018.1536215,C4_endothelium;D3_full_thickness_multilayer,2,Include,,endothelium,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,14,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely,yes,yes,no,yes,yes,no,Priority 1 - strict retrieval shortlist,stroma,corrected,manual correction after first-batch layer-label audit,endothelium
